s, numComparisons, ,s,min
533,161811, ,,
534,165023, ,,
535,162491, ,,
536,160400, ,,
537,161536, ,,
538,156811, ,,
539,158906, ,,
540,162206, ,,
541,160405, ,,
542,154750, ,,
543,161762, ,,
544,159649, ,,
545,161500, ,,
546,161753, ,,
547,161910, ,,
548,163856, ,,
549,160769, ,,
550,157935, ,,
551,159241, ,,
552,161369, ,,
553,158720, ,,
554,159865, ,,
555,162286, ,,
556,158853, ,,
557,157841, ,,
558,159643, ,,
559,157688, ,,
560,160327, ,,
561,158632, ,,
562,161825, ,,
563,156144, ,,
564,161816, ,,
565,159791, ,,
566,161300, ,,
567,160612, ,,
568,161784, ,,
569,165274, ,,
570,160274, ,,
571,159520, ,,
572,161504, ,,
573,160141, ,,
574,160779, ,,
575,160751, ,,
576,160727, ,,
577,159685, ,,
578,161608, ,,
579,159145, ,,
580,160135, ,,
581,159274, ,,
582,159162, ,,
583,166930, ,,
584,158794, ,,
585,161756, ,,
586,165315, ,,
587,159358, ,,
588,165010, ,,
589,162298, ,,
590,163110, ,,
591,158669, ,,
592,163459, ,,
593,155825, ,,
594,163705, ,,
595,160655, ,,
596,159248, ,,
597,162006, ,,
598,162099, ,,
599,159998, ,,
600,162912, ,,
601,162573, ,,
602,160299, ,,
603,160065, ,,
604,157345, ,,
605,162156, ,,
606,156668, ,,
607,156831, ,,
608,163623, ,,
609,160470, ,,
610,160055, ,,
611,161292, ,,
612,163658, ,,
613,160427, ,,
614,159034, ,,
615,158864, ,,
616,163080, ,,
617,162308, ,,
618,159909, ,,
619,157909, ,,
620,159762, ,,
621,160003, ,,
622,162316, ,,
623,161608, ,,
624,163621, ,,
625,234134, ,,
626,228126, ,,
627,235975, ,,
628,236740, ,,
629,228569, ,,
630,227580, ,,
631,223136, ,,
632,234144, ,,
633,229267, ,,
634,231344, ,,
635,225009, ,,
636,236631, ,,
637,232854, ,,
638,238267, ,,
639,226803, ,,
640,230849, ,,
641,237150, ,,
642,233610, ,,
643,237519, ,,
644,235602, ,,
645,231400, ,,
646,234210, ,,
647,240354, ,,
648,229792, ,,
649,227790, ,,
650,226861, ,,
651,226926, ,,
652,234058, ,,
653,225757, ,,
654,230009, ,,
655,224698, ,,
656,229884, ,,
657,231895, ,,
658,230476, ,,
659,229410, ,,
660,227217, ,,
661,229990, ,,
662,231730, ,,
663,227306, ,,
664,237181, ,,
665,240946, ,,
666,240548, ,,
667,235352, ,,
668,234961, ,,
669,237361, ,,
670,226391, ,,
671,228075, ,,
672,224108, ,,
673,239572, ,,
674,234176, ,,
675,228253, ,,
676,237988, ,,
677,233051, ,,
678,237695, ,,
679,228023, ,,
680,231394, ,,
681,240168, ,,
682,232275, ,,
683,230775, ,,
684,234040, ,,
685,231139, ,,
686,227954, ,,
687,240743, ,,
688,235476, ,,
689,221010, ,,
690,230235, ,,
