s, numComparisons,s,minComp
526,64257, ,
527,65981, ,
528,60831, ,
529,62724, ,
530,63225, ,
531,67425, ,
532,59339, ,
533,64591, ,
534,64896, ,
535,60892, ,
536,66312, ,
537,62822, ,
538,62313, ,
539,63067, ,
540,63517, ,
541,64107, ,
542,65825, ,
543,62679, ,
544,66031, ,
545,63376, ,
546,64851, ,
547,64105, ,
548,68270, ,
549,64076, ,
550,65630, ,
551,66416, ,
552,60347, ,
553,67268, ,
554,62739, ,
555,64177, ,
556,65447, ,
557,60922, ,
558,62164, ,
559,62764, ,
560,60303, ,
561,61217, ,
562,63402, ,
563,63271, ,
564,60544, ,
565,64425, ,
566,64828, ,
567,57153, ,
568,65636, ,
569,64844, ,
570,61826, ,
571,66713, ,
572,62774, ,
573,65424, ,
574,63837, ,
575,63975, ,
576,63423, ,
577,62591, ,
578,63864, ,
579,61340, ,
580,62896, ,
581,61559, ,
582,67740, ,
583,64366, ,
584,66434, ,
585,67593, ,
586,67572, ,
587,60472, ,
588,62993, ,
589,65889, ,
590,64341, ,
591,61020, ,
592,61020, ,
593,64696, ,
594,67009, ,
595,64500, ,
596,64906, ,
597,66398, ,
598,61947, ,
599,66081, ,
600,64188, ,
601,63468, ,
602,64672, ,
603,62534, ,
604,61527, ,
605,64913, ,
606,63843, ,
607,63249, ,
608,64668, ,
609,63845, ,
610,63946, ,
611,62438, ,
612,66173, ,
613,61353, ,
614,62615, ,
615,64649, ,
616,64553, ,
617,62853, ,
618,65586, ,
619,63208, ,
620,64707, ,
621,65260, ,
622,66909, ,
623,63568, ,
624,65656, ,
625,62104, ,
626,62952, ,
627,66543, ,
628,66286, ,
629,61257, ,
630,65391, ,
631,67367, ,
632,68117, ,
633,64536, ,
634,61968, ,
635,63027, ,
636,63915, ,
637,63476, ,
638,63778, ,
639,61933, ,
640,64312, ,
641,65643, ,
642,64459, ,
643,65692, ,
644,64681, ,
645,67751, ,
646,64046, ,
647,64329, ,
648,64919, ,
649,64175, ,
650,62282, ,
651,66717, ,
652,63250, ,
653,63729, ,
654,63707, ,
655,67358, ,
656,65979, ,
657,65365, ,
658,62774, ,
659,66167, ,
660,65695, ,
661,67149, ,
662,61263, ,
663,66503, ,
664,64508, ,
665,61466, ,
666,59119, ,
667,67045, ,
668,62221, ,
669,64499, ,
670,61261, ,
671,65761, ,
672,64152, ,
673,61598, ,
674,66209, ,
675,65180, ,
676,62627, ,
677,59270, ,
678,67655, ,
679,63768, ,
680,65799, ,
681,64138, ,
682,64027, ,
683,64094, ,
684,63522, ,
685,60297, ,
686,58019, ,
687,63563, ,
688,60923, ,
689,62886, ,
690,63843, ,
691,64447, ,
692,63002, ,
693,62229, ,
694,62401, ,
695,64671, ,
696,70469, ,
697,64776, ,
698,62200, ,
699,65957, ,
700,64076, ,
701,63310, ,
702,64543, ,
703,60414, ,
704,66077, ,
705,66398, ,
706,61701, ,
707,65423, ,
708,62851, ,
709,60915, ,
710,64428, ,
711,61325, ,
712,60604, ,
713,64980, ,
714,61297, ,
715,66827, ,
716,66324, ,
717,66028, ,
718,63648, ,
719,65388, ,
720,63759, ,
721,59819, ,
722,66322, ,
723,66839, ,
724,60509, ,
725,65964, ,
726,65822, ,
727,64081, ,
728,62824, ,
729,64325, ,
730,66330, ,
731,66127, ,
732,63027, ,
733,63847, ,
734,62802, ,
735,66764, ,
736,61104, ,
737,64717, ,
738,63946, ,
739,65434, ,
740,63155, ,
741,66604, ,
742,64910, ,
743,65617, ,
744,66078, ,
745,66300, ,
746,59255, ,
747,64686, ,
748,64489, ,
749,64169, ,
750,65619, ,
751,63933, ,
752,63955, ,
753,65402, ,
754,65925, ,
755,61686, ,
756,64156, ,
757,60819, ,
758,65959, ,
759,59728, ,
760,65617, ,
761,60536, ,
762,60720, ,
763,64447, ,
764,63463, ,
765,68615, ,
766,66307, ,
767,61773, ,
768,62960, ,
769,63519, ,
770,62560, ,
771,67183, ,
772,61462, ,
773,63265, ,
774,65952, ,
775,67149, ,
776,65387, ,
777,63887, ,
778,65019, ,
779,63340, ,
780,64945, ,
781,66103, ,
782,60886, ,
783,64406, ,
784,62142, ,
785,64376, ,
786,63743, ,
787,67531, ,
788,64138, ,
789,62562, ,
790,62347, ,
791,64427, ,
792,64390, ,
793,64707, ,
794,66551, ,
795,60407, ,
796,61121, ,
797,62762, ,
798,62014, ,
799,62623, ,
800,62688, ,
801,64167, ,
802,63195, ,
803,63356, ,
804,62762, ,
805,64473, ,
806,61405, ,
807,65759, ,
808,64209, ,
809,64972, ,
810,64884, ,
811,64030, ,
812,65582, ,
813,65286, ,
814,64105, ,
815,63557, ,
816,64812, ,
817,64653, ,
818,63007, ,
819,64650, ,
820,63101, ,
821,60843, ,
822,60283, ,
823,62892, ,
824,62772, ,
825,64684, ,
826,63582, ,
827,60957, ,
828,62859, ,
829,67238, ,
830,61060, ,
831,64619, ,
832,65782, ,
833,67043, ,
834,63353, ,
835,65176, ,
836,63657, ,
837,66743, ,
838,63909, ,
839,66623, ,
840,61855, ,
841,59020, ,
842,60707, ,
843,61144, ,
844,62534, ,
845,64287, ,
846,61251, ,
847,63933, ,
848,60320, ,
849,64816, ,
850,62838, ,
851,60912, ,
852,65609, ,
853,62707, ,
854,60390, ,
855,61135, ,
856,64919, ,
857,64626, ,
858,61414, ,
859,58669, ,
860,64779, ,
861,66484, ,
862,63870, ,
863,64466, ,
864,65489, ,
865,62537, ,
866,63989, ,
867,64640, ,
868,63076, ,
869,63862, ,
870,63978, ,
871,64321, ,
872,64514, ,
873,65788, ,
874,61932, ,
875,65721, ,
876,63982, ,
877,62166, ,
878,63318, ,
879,66121, ,
880,62874, ,
881,61368, ,
882,64727, ,
883,62756, ,
884,65974, ,
885,67631, ,
886,61999, ,
887,65533, ,
888,64032, ,
889,64365, ,
890,64141, ,
891,62041, ,
892,67910, ,
893,64664, ,
894,61494, ,
895,63145, ,
896,62592, ,
897,65585, ,
898,63661, ,
899,62644, ,
900,63227, ,
901,63358, ,
902,64110, ,
903,63960, ,
904,66762, ,
905,63927, ,
906,63075, ,
907,60938, ,
908,63628, ,
909,60069, ,
910,63873, ,
911,65089, ,
912,64268, ,
913,64605, ,
914,64885, ,
915,61442, ,
916,62693, ,
917,61233, ,
918,62253, ,
919,63293, ,
920,64161, ,
921,61599, ,
922,62175, ,
923,65443, ,
924,65139, ,
925,65046, ,
926,62414, ,
927,66197, ,
928,60892, ,
929,64400, ,
930,65169, ,
931,64503, ,
932,62374, ,
933,63241, ,
934,66370, ,
935,68105, ,
936,63625, ,
937,61933, ,
938,64389, ,
939,66128, ,
940,64968, ,
941,62816, ,
942,64408, ,
943,62803, ,
944,64118, ,
945,64864, ,
946,66268, ,
947,67372, ,
948,61937, ,
949,60918, ,
950,60457, ,
951,62332, ,
952,64674, ,
953,66505, ,
954,62544, ,
955,65770, ,
956,61694, ,
957,63317, ,
958,60639, ,
959,62569, ,
960,61300, ,
961,60556, ,
962,63326, ,
963,63493, ,
964,62577, ,
965,64016, ,
966,61008, ,
967,65093, ,
968,64956, ,
969,63949, ,
970,65721, ,
971,63155, ,
972,60420, ,
973,66865, ,
974,65063, ,
975,61195, ,
976,66130, ,
977,66201, ,
978,65639, ,
979,65112, ,
980,61808, ,
981,62773, ,
982,64453, ,
983,61522, ,
984,65565, ,
985,64717, ,
986,64529, ,
987,61530, ,
988,63068, ,
989,63518, ,
990,63283, ,
991,61628, ,
992,62703, ,
993,67087, ,
994,64215, ,
995,59706, ,
996,64285, ,
997,60491, ,
998,64035, ,
999,64871, ,
1000,253913, ,
