n, Insertion Sort, Merge Sort, Hybrid Sort
611,92760,4907,3662
612,92725,4918,3611
613,93188,4912,4331
614,95694,4895,3769
615,98987,4941,4201
616,92548,4952,3875
617,93154,4974,4030
618,96183,4945,4046
619,94541,4974,3955
620,93369,4978,3524
621,95334,4994,3509
622,97011,4987,4332
623,91375,5010,4113
624,96558,5032,4075
625,92144,5044,3510
626,94598,5041,4328
627,95195,5056,4444
628,96945,5057,4062
629,99182,5090,4180
630,95466,5076,4367
631,93995,5091,3911
632,101517,5094,4336
633,104491,5101,4002
634,97779,5099,4200
635,101527,5107,4244
636,101074,5134,4336
637,100424,5113,4049
638,100866,5156,3971
639,101815,5146,4278
640,102708,5183,3790
641,98745,5188,3957
642,106033,5197,4183
643,100215,5190,4081
644,107350,5204,4232
645,99604,5191,3942
646,100034,5247,4393
647,109553,5253,4615
648,102986,5247,3966
649,110297,5276,4184
650,112227,5274,4360
651,103325,5281,4057
652,104302,5273,4082
653,107399,5301,4362
654,107713,5299,4386
655,108359,5301,4064
656,104656,5322,4323
657,105293,5345,4370
658,105024,5344,4208
659,116413,5351,4458
660,107612,5365,4758
661,108363,5375,4226
662,111402,5399,4147
663,111888,5406,4650
664,110337,5424,4389
665,110279,5431,3909
666,105318,5410,4406
667,111371,5439,4163
668,111443,5463,4680
669,117308,5445,4428
670,111484,5455,4820
671,112271,5500,4530
672,113609,5492,4014
673,113560,5498,4687
674,118309,5525,4536
675,110528,5497,4626
676,116628,5522,4525
677,120524,5502,4349
678,113616,5526,4709
679,113549,5544,4557
680,110847,5530,4100
681,115741,5536,4704
682,116614,5575,4835
683,118267,5567,4420
684,114867,5590,4538
685,119730,5611,4597
686,114902,5598,4662
687,117079,5605,4567
688,116650,5619,4467
689,120980,5634,4527
690,117886,5629,4717
691,119694,5666,4533
692,115549,5659,4465
693,122454,5692,4494
694,116386,5691,5028
695,120507,5683,4598
696,117459,5721,4586
697,124865,5713,4457
698,117121,5753,4678
699,118054,5715,4102
700,121836,5755,4215
701,122221,5768,4359
702,120684,5774,4898
703,120914,5775,4840
704,123438,5781,4674
705,124906,5803,4811
706,122030,5820,4604
707,120465,5793,5298
708,128250,5792,4757
709,126163,5852,5095
710,122437,5852,4630
711,127792,5859,4665
712,124365,5865,4792
713,122628,5858,5283
714,130558,5881,4585
715,131182,5884,5055
716,134798,5909,4589
717,134721,5932,4626
718,129210,5902,5097
719,132537,5916,4867
720,126415,5935,4904
721,126902,5936,4864
722,127693,5948,4264
723,133497,5953,4590
724,128802,5980,4680
725,133462,5990,4869
726,130509,6018,5343
727,126014,6003,5231
728,131824,6016,4904
729,135446,6047,4898
730,132598,6036,4831
731,128742,6039,4889
732,126767,6076,4434
733,135812,6076,4903
734,128846,6057,5120
735,135585,6085,5254
736,136094,6095,5283
737,135329,6115,4799
738,142483,6104,5020
739,138363,6099,4892
740,138800,6141,5046
741,137066,6106,4852
742,135993,6149,5545
743,137453,6146,5029
744,147149,6175,5697
745,139402,6170,4876
746,135889,6175,5235
747,138165,6213,5012
748,136894,6181,5229
749,140946,6221,5186
750,137370,6202,5823
751,139251,6237,5120
752,136297,6245,4781
753,139733,6221,5738
754,147748,6284,4866
755,142097,6274,5548
756,141243,6276,5328
757,139385,6287,5412
